Part     Value               Device                 Package      Library          Sheet

C1       2n2                 C-EU150-054X183        C150-054X183 rcl              1
C2       10n                 C-EUC0603              C0603        rcl              1
C3       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C4       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C5       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C6       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C7       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C8       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C9       1000µF              CPOL-EUE10-35          EB35D        rcl              1
C10      1000µF              CPOL-EUE10-35          EB35D        rcl              1
C11      FKP-1-1600 68n      C-EU375-192X418        C375-192X418 rcl              1
C12      100n                C-EUC0603              C0603        rcl              2
C13      100n                C-EUC0603              C0603        rcl              2
C14      100n                C-EUC0603              C0603        rcl              2
C15      100n                C-EUC0603              C0603        rcl              2
C16      100n                C-EUC0603              C0603        rcl              2
C17      10n                 C-EUC0603              C0603        rcl              2
C18      10n                 C-EUC0603              C0603        rcl              2
D1       DSEI30-10A          DEIS10-30A             TO247AD      carpenoctem      1
D2       15KE250A            15KEXX                 CB429-17     diode            2
D3       1N4148              1N4148                 DO35-10      diode            2
D4       24V                 ZENER-DIODEDO35Z10     DO35Z10      diode            1
D5       5V                  ZENER-DIODESOT23       SOT23        diode            1
D6       DSEI30-10A          DEIS10-30A             TO247AD      carpenoctem      1
D7       51V                 ZENER-DIODEDO35Z10     DO35Z10      diode            1
D9       5V                  ZENER-DIODESOT23       SOT23        diode            1
H1       MOUNT-PAD-ROUND3.0  MOUNT-PAD-ROUND3.0     3,0-PAD      holes            1
H2       MOUNT-PAD-ROUND3.0  MOUNT-PAD-ROUND3.0     3,0-PAD      holes            1
H3       MOUNT-PAD-ROUND3.0  MOUNT-PAD-ROUND3.0     3,0-PAD      holes            1
H4       MOUNT-PAD-ROUND3.0  MOUNT-PAD-ROUND3.0     3,0-PAD      holes            1
L1                           L-EUTJ6-U1             TJ6-U1       rcl              1
LED1     lc_green            LED5MM                 LED5MM       led              1
LED2     lc_ye               LED5MM                 LED5MM       led              1
Q1       IRFPC50             IRFPC40                TO247BV      transistor-power 1
Q2       IRF840              IRF740                 TO220BV      transistor-power 1
Q3       IRFPC50             IRFPC40                TO247BV      transistor-power 1
Q5       IRFPS37N50A         IRFPC40                TO247BV      transistor-power 1
R1       330k/1W             R-EU_0309/12           0309/12      rcl              1
R2       470k                R-EU_R0805             R0805        rcl              1
R3       100                 R-EU_R0805             R0805        rcl              1
R4       10k                 R-EU_R0805             R0805        rcl              2
R5       56k                 R-EU_R0805             R0805        rcl              1
R6       5k6/1W              R-EU_0309/12           0309/12      rcl              1
R7       1k                  R-EU_R0805             R0805        rcl              1
R8       110                 RHS25                  HS25         resistor-power   1
R9       4k7                 R-EU_R0805             R0805        rcl              2
R10      270k                R-EU_R0805             R0805        rcl              2
R11      800                 R-EU_R0805             R0805        rcl              1
R12      10k                 R-EU_R0805             R0805        rcl              2
R13      10k                 R-EU_R0805             R0805        rcl              1
R14      330k                R-EU_R0805             R0805        rcl              1
R15      100                 R-EU_R0805             R0805        rcl              1
R16      1k                  R-EU_R0805             R0805        rcl              1
R17      5k6                 R-EU_R0805             R0805        rcl              1
R18      10k                 R-EU_R0805             R0805        rcl              1
R20      56k                 R-EU_R0805             R0805        rcl              1
R21      1k                  R-EU_R0805             R0805        rcl              2
R22      10                  R-EU_R0805             R0805        rcl              1
R23      56k                 R-EU_R0805             R0805        rcl              1
R24      10                  R-EU_R0805             R0805        rcl              1
SV1                          ML10LE                 ML10L        con-harting-ml   1
T1       BC847A              BC817-25-NPN-SOT23-BEC SOT23-BEC    transistor       2
T2       BC847A              BC817-25-NPN-SOT23-BEC SOT23-BEC    transistor       1
T3       BC857A              BC807-25-PNP-SOT23-BEC SOT23-BEC    transistor       2
X1       Löten, kein stecker AK500/2-H              AK500/2-H    con-ptr500       1
X2       AKL 230-02          AK500/2-H              AK500/2-H    con-ptr500       1
