Part     Value              Device             Package      Library              Sheet

BOOSTER  SE14               SE14               SE14         solpad               2
C1       100n               C-EUC0603          C0603        rcl                  2
C5       100n               C-EUC0603          C0603        rcl                  1
C6       100n               C-EUC0603          C0603        rcl                  1
C8       22p                C-EUC0603          C0603        rcl                  1
C9       22p                C-EUC0603          C0603        rcl                  1
C10      100n               C-EUC0603          C0603        rcl                  1
C12      22p                C-EUC0603          C0603        rcl                  1
C13      22p                C-EUC0603          C0603        rcl                  1
C14      220µF/35V          CPOL-EUE5-10.5     E5-10,5      rcl                  1
C15      220µF/25V          CPOL-EUE3.5-10     E3,5-10      rcl                  1
CAN                         90-4               90-4         con-weidmueller-sl35 1
D1       1N4001             1N4004             DO41-10      diode                1
D2       MBRS360            SCHOTTKY-DIODESMC  SMC          diode                1
F1                          SH22,5A            SH22,5A      fuse                 1
GND      SE14               SE14               SE14         solpad               2
H1       MOUNT-PAD-ROUND3.0 MOUNT-PAD-ROUND3.0 3,0-PAD      holes                1
H2       MOUNT-PAD-ROUND3.0 MOUNT-PAD-ROUND3.0 3,0-PAD      holes                1
H3       MOUNT-PAD-ROUND3.0 MOUNT-PAD-ROUND3.0 3,0-PAD      holes                1
H4       MOUNT-PAD-ROUND3.0 MOUNT-PAD-ROUND3.0 3,0-PAD      holes                1
IC1      4081D              4081D              SO14         40xx                 2
IC2      MEGA32-A           MEGA32-A           TQFP44       atmel                1
IC3      PCA82C250          PCA82C250          DIL08        micro-philips        1
IC4      MCP2515-E/SO       MCP2515-E/SO       SO18L        mcp2515              1
IC5      LM2576-5V          LM2596TV           TO220-51     linear               1
JP1                         PINHD-1X2          1X02         pinhead              1
L1                          L-PISR             PISR         L-PISR               1
LED1                        LEDCHIP-LED0805    CHIP-LED0805 led                  1
LED2                        LEDCHIP-LED0805    CHIP-LED0805 led                  1
LED3                        LEDCHIP-LED0805    CHIP-LED0805 led                  1
LED4                        LEDCHIP-LED0805    CHIP-LED0805 led                  1
ON       green              LED3MM             LED3MM       led                  1
POWER                       AK500/2-H          AK500/2-H    con-ptr500           1
PROG                        ML10               ML10         con-harting-ml       1
Q1       16MHz              CRYSTALHC49S       HC49/S       crystal              1
Q2       16MHz              CRYSTALHC49U-V     HC49U-V      crystal              1
Q3       BC847A             BC847ASMD          SOT23        transistor-npn       2
Q4       BC847A             BC847ASMD          SOT23        transistor-npn       2
Q5       BC857              BC807-40SMD        SOT23-BEC    transistor-pnp       2
Q6       BC847              BC817-25SMD        SOT23-BEC    transistor-npn       2
Q8       BC847              BC817-25SMD        SOT23-BEC    transistor-npn       2
Q9       BC847              BC817-25SMD        SOT23-BEC    transistor-npn       2
Q11      BC857A             BC857ASMD          SOT23-BEC    transistor-pnp       2
Q12      BC847A             BC847ASMD          SOT23        transistor-npn       2
Q14      BC847              BC817-25SMD        SOT23-BEC    transistor-npn       2
Q15      BC847A             BC847ASMD          SOT23        transistor-npn       2
Q16      BC847A             BC847ASMD          SOT23        transistor-npn       2
R1       10k                R-EU_R0805         R0805        rcl                  1
R2       0                  R-EU_R0805         R0805        rcl                  1
R3       0                  R-EU_R0805         R0805        rcl                  1
R4       2k7                R-EU_R0805         R0805        rcl                  1
R5       4k7                R-EU_R0805         R0805        rcl                  1
R6       4k7                R-EU_R0805         R0805        rcl                  1
R7       4k7                R-EU_R0805         R0805        rcl                  1
R8       4k7                R-EU_R0805         R0805        rcl                  1
R9       1k                 R-EU_R0805         R0805        rcl                  2
R10      4k7                R-EU_R0805         R0805        rcl                  2
R11      10k                R-EU_R0805         R0805        rcl                  2
R12      1k                 R-EU_R0805         R0805        rcl                  2
R13      4k7                R-EU_R0805         R0805        rcl                  2
R14      2k2                R-EU_R0805         R0805        rcl                  2
R17      1k                 R-EU_R0805         R0805        rcl                  2
R18      100                R-EU_R0805         R0805        rcl                  2
R19      4k7                R-EU_R0805         R0805        rcl                  2
R20      10k                R-EU_R0805         R0805        rcl                  2
R21      4k7                R-EU_R0805         R0805        rcl                  2
R22      1k                 R-EU_R0805         R0805        rcl                  2
R23      1k                 R-EU_R0805         R0805        rcl                  2
R24      4k7                R-EU_R0805         R0805        rcl                  2
R26      1k                 R-EU_R0805         R0805        rcl                  2
R29      100                R-EU_R0805         R0805        rcl                  1
R30      220                R-EU_R0805         R0805        rcl                  1
R31      220                R-EU_R0805         R0805        rcl                  1
R32      4k7                R-EU_R0805         R0805        rcl                  2
R33      100                R-EU_R0805         R0805        rcl                  2
R34      10k                R-EU_R0805         R0805        rcl                  1
R35      2k2                R-EU_R0805         R0805        rcl                  2
R36      100                R-EU_R0805         R0805        rcl                  2
R37      100                R-EU_R0805         R0805        rcl                  2
R38      220                R-EU_R0805         R0805        rcl                  1
R39      220                R-EU_R0805         R0805        rcl                  1
R40      33k                R-EU_R0805         R0805        rcl                  1
R41      4k7                R-EU_R0805         R0805        rcl                  1
R42      0                  R-EU_R0805         R0805        rcl                  1
SERVO                       ML6L               ML6L         con-harting-ml       1
SV1                         ML10LE             ML10L        con-harting-ml       1
U$1      FQA12P20           FQA12P20           TO247BV      carpenoctem          2
